id,city,population,delta
1000,北海道,5506419,-2.16
1100,札幌市,1913545,1.74
1101,中央区,220189,8.57
1102,北区,278781,2.16
1103,東区,255873,0.74
1104,白石区,204259,1.47
1105,豊平区,212118,1.28
1106,南区,146341,-4.37
1107,西区,211229,1.88
1108,厚別区,128492,-0.95
1109,手稲区,139644,1.48
1110,清田区,116619,3.40
1202,函館市,279127,-5.14
1203,小樽市,131928,-7.20
1204,旭川市,347095,-2.23
1205,室蘭市,94535,-3.90
1206,釧路市,181169,-4.89
1207,帯広市,168057,-1.48
1208,北見市,125689,-2.84
1209,夕張市,10922,-15.99
1210,岩見沢市,90145,-3.77
1211,網走市,40998,-2.49
1212,留萌市,24457,-8.83
1213,苫小牧市,173320,0.33
1214,稚内市,39595,-4.80
1215,美唄市,26034,-10.48
1216,芦別市,16628,-12.02
1217,江別市,123722,-1.50
1218,赤平市,12637,-12.25
1219,紋別市,24750,-7.07
1220,士別市,21787,-6.94
1221,名寄市,30591,-3.28
1222,三笠市,10221,-14.30
1223,根室市,29201,-6.41
1224,千歳市,93604,2.37
1225,滝川市,43170,-5.25
1226,砂川市,19056,-5.04
1227,歌志内市,4387,-15.97
1228,深川市,23709,-8.24
1229,富良野市,24259,-3.26
1230,登別市,51526,-3.03
1231,恵庭市,69384,2.62
1233,伊達市,36278,-2.13
1234,北広島市,60353,-0.53
1235,石狩市,59449,-1.09
1236,北斗市,48032,-0.05
1303,当別町,18766,-6.09
1304,新篠津村,3515,-5.94
1331,松前町,8748,-13.57
1332,福島町,5114,-13.28
1333,知内町,5074,-6.85
1334,木古内町,5341,-11.34
1337,七飯町,28463,0.14
1343,鹿部町,4767,-3.09
1345,森町,17859,-6.74
1346,八雲町,18896,-6.13
1347,長万部町,6386,-8.81
1361,江差町,9004,-11.12
1362,上ノ国町,5428,-15.41
1363,厚沢部町,4409,-7.66
1364,乙部町,4408,-8.47
1367,奥尻町,3033,-16.74
1370,今金町,6186,-4.33
1371,せたな町,9590,-10.77
1391,島牧村,1781,-10.77
1392,寿都町,3443,-8.04
1393,黒松内町,3250,-5.99
1394,蘭越町,5292,-8.79
1395,ニセコ町,4823,3.30
