"id","blank","city","population","delta"
"01000",,"北海道","5,506,419","-2.15572"
"01100",,"札幌市","1,913,545","1.73761"
"01101",,"中央区","220,189","8.57392"
"01102",,"北区","278,781","2.16361"
"01103",,"東区","255,873","0.73899"
"01104",,"白石区","204,259","1.46642"
"01105",,"豊平区","212,118","1.28445"
"01106",,"南区","146,341","-4.36541"
"01107",,"西区","211,229","1.88107"
"01108",,"厚別区","128,492","-0.94665"
"01109",,"手稲区","139,644","1.48473"
"01110",,"清田区","116,619","3.40122"
"01202",,"函館市","279,127","-5.14402"
"01203",,"小樽市","131,928","-7.19818"
"01204",,"旭川市","347,095","-2.22786"
"01205",,"室蘭市","94,535","-3.9005"
"01206",,"釧路市","181,169","-4.88718"
"01207",,"帯広市","168,057","-1.47907"
"01208",,"北見市","125,689","-2.84157"
"01209",,"夕張市","10,922","-15.99108"
"01210",,"岩見沢市","90,145","-3.7704"
"01211",,"網走市","40,998","-2.49019"
"01212",,"留萌市","24,457","-8.83098"
"01213",,"苫小牧市","173,320","0.32531"
"01214",,"稚内市","39,595","-4.8014"
"01215",,"美唄市","26,034","-10.48379"
"01216",,"芦別市","16,628","-12.01651"
"01217",,"江別市","123,722","-1.49601"
"01218",,"赤平市","12,637","-12.24915"
"01219",,"紋別市","24,750","-7.06669"
"01220",,"士別市","21,787","-6.93691"
"01221",,"名寄市","30,591","-3.27874"
"01222",,"三笠市","10,221","-14.30368"
"01223",,"根室市","29,201","-6.41305"
"01224",,"千歳市","93,604","2.36994"
"01225",,"滝川市","43,170","-5.24999"
"01226",,"砂川市","19,056","-5.04285"
"01227",,"歌志内市","4,387","-15.97395"
"01228",,"深川市","23,709","-8.2398"
"01229",,"富良野市","24,259","-3.2581"
"01230",,"登別市","51,526","-3.02814"
"01231",,"恵庭市","69,384","2.6178"
"01233",,"伊達市","36,278","-2.12594"
"01234",,"北広島市","60,353","-0.53397"
"01235",,"石狩市","59,449","-1.08978"
"01236",,"北斗市","48,032","-0.04994"
"01303",,"当別町","18,766","-6.08548"
"01304",,"新篠津村","3,515","-5.94059"
"01331",,"松前町","8,748","-13.56585"
"01332",,"福島町","5,114","-13.27794"
"01333",,"知内町","5,074","-6.84781"
"01334",,"木古内町","5,341","-11.33798"
"01337",,"七飯町","28,463","0.13721"
"01343",,"鹿部町","4,767","-3.09006"
"01345",,"森町","17,859","-6.73664"
"01346",,"八雲町","18,896","-6.13482"
"01347",,"長万部町","6,386","-8.81051"
"01361",,"江差町","9,004","-11.12427"
"01362",,"上ノ国町","5,428","-15.41219"
"01363",,"厚沢部町","4,409","-7.66492"
"01364",,"乙部町","4,408","-8.47176"
"01367",,"奥尻町","3,033","-16.74444"
"01370",,"今金町","6,186","-4.33034"
"01371",,"せたな町","9,590","-10.7741"
"01391",,"島牧村","1,781","-10.77154"
"01392",,"寿都町","3,443","-8.03953"
"01393",,"黒松内町","3,250","-5.98785"
"01394",,"蘭越町","5,292","-8.79007"
"01395",,"ニセコ町","4,823","3.29835"
"01396",,"真狩村","2,189","-7.00935"
"01397",,"留寿都村","2,034","-6.05081"
"01398",,"喜茂別町","2,490","-8.01625"
"01399",,"京極町","3,811","6.36338"
"01400",,"倶知安町","15,568","-3.75865"
"01401",,"共和町","6,428","-9.61755"
"01402",,"岩内町","14,451","-8.21265"
"01403",,"泊村","1,883","-13.82151"
"01404",,"神恵内村","1,122","-14.93556"
"01405",,"積丹町","2,516","-12.02797"
"01406",,"古平町","3,611","-10.19647"
"01407",,"仁木町","3,800","-4.20973"
"01408",,"余市町","21,258","-6.49248"
"01409",,"赤井川村","1,262","-3.66412"
"01423",,"南幌町","8,778","-8.21832"
"01424",,"奈井江町","6,194","-9.39146"
"01425",,"上砂川町","4,086","-14.33962"
"01427",,"由仁町","5,896","-8.9702"
"01428",,"長沼町","11,691","-5.72534"
"01429",,"栗山町","13,340","-7.05128"
"01430",,"月形町","4,859","1.5465"
"01431",,"浦臼町","2,206","-8.72983"
"01432",,"新十津川町","7,249","-5.66111"
"01433",,"妹背牛町","3,462","-12.19883"
"01434",,"秩父別町","2,730","-9.09091"
"01436",,"雨竜町","3,049","-8.05187"
"01437",,"北竜町","2,193","-7.70202"
"01438",,"沼田町","3,612","-10.61618"
"01452",,"鷹栖町","7,345","1.15687"
"01453",,"東神楽町","9,292","1.06591"
"01454",,"当麻町","7,087","-5.16526"
"01455",,"比布町","4,042","-6.86636"
"01456",,"愛別町","3,328","-10.99224"
"01457",,"上川町","4,532","-12.44204"
"01458",,"東川町","7,859","2.05168"
"01459",,"美瑛町","10,956","-5.77915"
"01460",,"上富良野町","11,545","-6.53335"
"01461",,"中富良野町","5,477","-4.03014"
"01462",,"南富良野町","2,814","-4.51306"
"01463",,"占冠村","1,394","-23.36449"
"01464",,"和寒町","3,832","-9.57999"
"01465",,"剣淵町","3,565","-9.79251"
"01468",,"下川町","3,775","-8.94838"
"01469",,"美深町","5,178","-6.05951"
"01470",,"音威子府村","995","-7.00935"
"01471",,"中川町","1,907","-9.44919"
"01472",,"幌加内町","1,710","-12.39754"
"01481",,"増毛町","5,078","-11.03714"
"01482",,"小平町","3,717","-12.99157"
"01483",,"苫前町","3,656","-12.99381"
"01484",,"羽幌町","7,964","-8.87872"
"01485",,"初山別村","1,369","-9.39775"
"01486",,"遠別町","3,084","-9.85092"
"01487",,"天塩町","3,780","-6.20347"
"01511",,"猿払村","2,825","-3.91156"
"01512",,"浜頓別町","4,168","-9.03536"
"01513",,"中頓別町","1,974","-13.76147"
"01514",,"枝幸町","9,125","-7.03006"
"01516",,"豊富町","4,378","-9.73196"
"01517",,"礼文町","3,078","-9.73607"
"01518",,"利尻町","2,590","-12.23314"
"01519",,"利尻富士町","3,037","-6.23649"
"01520",,"幌延町","2,677","-3.84339"
"01543",,"美幌町","21,575","-5.4516"
"01544",,"津別町","5,646","-9.25747"
"01545",,"斜里町","13,045","-2.87395"
"01546",,"清里町","4,551","-9.43284"
"01547",,"小清水町","5,358","-6.86598"
"01549",,"訓子府町","5,435","-9.12891"
"01550",,"置戸町","3,428","-7.3263"
"01552",,"佐呂間町","5,892","-7.8367"
"01555",,"遠軽町","22,265","-5.84827"
"01559",,"湧別町","10,041","-6.66481"
"01560",,"滝上町","3,028","-10.04159"
"01561",,"興部町","4,301","-6.27588"
"01562",,"西興部村","1,135","-7.27124"
"01563",,"雄武町","4,939","-10.31415"
"01564",,"大空町","7,933","-5.46949"
"01571",,"豊浦町","4,528","-5.09327"
"01575",,"壮瞥町","3,232","-6.93925"
"01578",,"白老町","19,376","-6.61269"
"01581",,"厚真町","4,890","-6.67939"
"01584",,"洞爺湖町","10,132","-10.67619"
"01585",,"安平町","8,726","-4.43544"
"01586",,"むかわ町","9,746","-8.07395"
"01601",,"日高町","13,615","-7.56959"
"01602",,"平取町","5,596","-9.34716"
"01604",,"新冠町","5,775","-4.29234"
"01607",,"浦河町","14,389","-8.33864"
"01608",,"様似町","5,114","-10.45351"
"01609",,"えりも町","5,413","-6.60801"
"01610",,"新ひだか町","25,419","-6.77058"
"01631",,"音更町","45,085","6.2023"
"01632",,"士幌町","6,416","-5.0185"
"01633",,"上士幌町","5,080","-2.84949"
"01634",,"鹿追町","5,702","-2.9612"
"01635",,"新得町","6,653","-8.1458"
"01636",,"清水町","9,961","-4.80696"
"01637",,"芽室町","18,905","3.30601"
"01638",,"中札内村","4,006","0.57745"
"01639",,"更別村","3,391","1.9543"
"01641",,"大樹町","5,977","-6.71141"
"01642",,"広尾町","7,881","-5.33333"
"01643",,"幕別町","26,547","-1.19473"
"01644",,"池田町","7,527","-8.12889"
"01645",,"豊頃町","3,394","-9.05681"
"01646",,"本別町","8,275","-8.78527"
"01647",,"足寄町","7,630","-8.26019"
"01648",,"陸別町","2,650","-10.35183"
"01649",,"浦幌町","5,460","-10.01978"
